"record_number","project","record_id","date","loc_region","catch_site","catch_site_acc","lat","long","sex","f_w","f_tl","f_sl","f_hl","f_condition","o_picture","o_de","o_le","o_wi","o_td","o_we","o_side","o_condition","obs","o_obs"
109,"CA","SG-MX-120629-6",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,91.6566265060241,NA,"Eviscerated","NO",1.84,17.59,8.23,4.34,0.2478,"L","Fine",NA,"Fine"
110,"CA","SG-MX-120629-8",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,95.2002126151665,NA,"Eviscerated","NO",2.2,18.8,8.48,3.5,0.2785,"L","Fine",NA,"Fine"
111,"CA","SG-MX-120629-9",2012-06-29,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,86.3412473423104,NA,"Eviscerated","NO",1.96,15.46,8.25,2.87,0.1702,"L","Fine",NA,"Fine"
117,"CA","SG-MX-130328-1",2013-03-28,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,192.648830616584,NA,"Eviscerated","NO",5.32,25.91,11.8,9.14,1.7503,"L","Fine",NA,"Fine"
118,"CA","SG-MX-130328-2",2013-03-28,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,157.567328136074,NA,"Eviscerated","NO",3.05,22.43,11.33,5.77,0.7278,"L","Fine",NA,"Fine"
119,"CA","SG-MX-130620-1",2013-06-20,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,137.723245924876,NA,"Eviscerated","NO",3.08,23.66,11.27,6.4,0.803,"L","Broken",NA,"Broken tip"
120,"CA","SG-MX-130620-2",2013-06-20,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,186.179487179487,NA,"Eviscerated","NO",5.97,29.91,12.25,9.63,2.0913,"R","Fine",NA,"Fine"
121,"CA","SG-MX-130620-3",2013-06-20,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,172.128205128205,NA,"Eviscerated","NO",3.76,25.29,11.86,7.29,1.0004,"L","Fine",NA,"Fine"
122,"CA","SG-MX-130821-1",2013-08-21,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,116.461729270021,NA,"Eviscerated","NO",2.36,20.75,8.8,5.64,0.3989,"L","Fine",NA,"Fine"
125,"CA","SG-MX-140314-1",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,130.586,NA,"Eviscerated","NO",2.64,22.52,11.35,5.34,0.5115,"L","Fine",NA,"Fine"
126,"CA","SG-MX-140314-2",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,123.5106,NA,"Eviscerated","NO",2.82,20.82,8.92,5.65,0.4605,"L","Fine",NA,"Fine"
127,"CA","SG-MX-140314-3",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,144.7368,NA,"Eviscerated","NO",3.31,24.59,11.41,5.62,0.7397,"L","Fine",NA,"Fine"
128,"CA","SG-MX-140314-4",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,114.66635,NA,"Eviscerated","NO",2.53,21.76,9.42,5.25,0.438,"L","Fine",NA,"Fine"
129,"CA","SG-MX-140314-5",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,114.66635,NA,"Eviscerated","NO",2.8,20.89,8.93,5.02,0.443,"L","Fine",NA,"Fine"
130,"CA","SG-MX-140314-6",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,197.8023,NA,"Eviscerated","NO",5.13,28.13,11.95,8.19,1.7516,"L","Fine",NA,"Fine"
131,"CA","SG-MX-140314-7",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,116.4352,NA,"Eviscerated","NO",2.45,21.56,8.68,4.66,0.4031,"L","Fine",NA,"Fine"
132,"CA","SG-MX-140314-8",2014-03-14,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,127.0483,NA,"Eviscerated","NO",2.25,22.62,9.44,5.33,0.4821,"L","Fine",NA,"Fine"
133,"CA","SG-MX-150418-1",2015-04-18,"Mx_Pacific","Baja California, Mx","Low",NA,NA,NA,NA,NA,130,NA,"Eviscerated","NO",3.12,21.33,9.77,NA,0.5692,"L","Fine",NA,"Fine"
34,"Baja","SG-PA-170703-01",2017-07-03,"Mx_Pacific_Central","Punta Abreojos","High",26.73388,-113.50588,"Immature",4.98,69,NA,20.5,"Eviscerated","YES",1.7,14.91,6.85,3.26,0.1663,NA,"Fine",NA,"Fine"
45,"Baja","SG-SD-170803-01",2017-08-03,"US_Pacific","Carlsbad","High",33.157746,-117.361084,NA,NA,136,NA,35,"Eviscerated","YES",2.26,20.92,9.79,3.89,0.4328,"L","Fine",NA,"Fine"
